論文番号,WEKO_URL,アイテムタイプ,査読区別,著者(姓+名),タイトル,タイトル(英),abstract,グループID,研究対象・データタイプ,研究対象・データタイプ（備考）,研究目的・応用分野,研究目的・応用分野（備考）,手法・技術要素分類,手法・技術要素分類（備考）,言語,公開日,書誌情報(雑誌名),書誌情報(巻),書誌情報(号),書誌情報(開始ページ),書誌情報(終了ページ),書誌情報(発行年),DOI,リンクURL(URL),使用データ(表示名),間取り図画像データ,月次データ,賃貸物件スナップショットデータ
110,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4579,Departmental Bulletin Paper (DSC),なし,"今井,悠人",不動産ビッグデータを例とした統計的外れ値処理手法の比較,,"全国の居住用不動産を対象に、専有面積が賃料に与える影響について相関係数という
観点から考察する。データセット中に誤入力と思われる外れ値が多く存在するため、そ
れらを除去する必要がある。本稿では外れ値の検出手法として統計的手法について比較
検討を行う。また経年劣化の進み具合が賃料に与える影響を考察するため数理モデルを
導入し、外れ値の検出手法が結果に与える影響についても調査する。",46,A2,大規模物件属性,B1,データクレンジング→価格分析等,C2,(2) Stat(外れ値検出),ja,2022/11/26,二松學舍大学国際政経論集,,27,23,35,2021,,https://ci.nii.ac.jp/naid/40022633461/,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
111,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4580,Conference Paper (DSC),なし,"佐々岡,哲哉|田島,敬史|清田,陽司",条件検索におけるランキング学習とそれに基づく条件推薦,,本稿では，様々な属性についての条件を指定してアイテムの検索を行う条件検索において，望ましいアイテムの発見を容易にする二つの手法を提案する．一つ目は検索条件に依存するランキングである．過去に同じ条件や類似する条件で検索した他のユーザが検索解中のどのアイテムにクリックを行ったかのデータからランキングを学習する．検索条件間の類似度は，検索で指定された属性条件の集合をベクトルで表現したものの間のコサイン類似度で求め，属性条件集合のベクトル化は，過去の検索条件の間での，どれだけどのようなアイテムをクリックしたかの類似度を用いて学習する．二つ目は検索条件の推薦である．検索条件が与えられた際，その条件を満たさないために解とはならないが，上述のランキング手法ではスコアが高くなるようなアイテムを見つけ，それらが解に含まれるようになる検索条件を推薦する．その際，当初の検索条件から離れ過ぎると意図に反する可能性が高いことも考慮する．,47,A2,検索条件・物件属性,B4,検索ランキング学習・条件推薦,C4,(4) RS(ランキング学習),ja,2022/11/26,データ工学と情報マネジメントに関するフォーラム（DEIM Forum 2021）論文集,,,,,2021,10.3130/DEIM2021..,https://github.com/Proceedings-of-DEIM/DEIM2021/blob/master/papers/F25-1.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
112,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4066,Journal Article (DSC),あり（論文誌）,"佐藤,秀樹|中山,泰宏",複数評価尺度に基づく道路網上での地理情報問合せ処理,,"Geographical information query <D, F, ψskyline> retrieves a subset from geographical objects D under multi-criteria, each of which is an aggregate network distance in road networks and expressed by function fi(p, Qi) (∈ F) where p is an geographical object and Qi is a set of query points. ψskyline is skyline operation which is used to deal with multi-criteria. To process geographical information queries, Basic algorithms have been developed before. Two techniques, (1) shortest path search using path information cache and (2) incremental computation of aggregate network distances, are presented to improve processing performance of Basic algorithms. By applying both techniques to BasicLBC algorithm which is the most efficient among Basic algorithms, 2 algorithms, IncrementalLocalLBC and IncrementalGlobalLBC, are developed. Experimental results show that processing time of IncrementalGlobalLBC is reduced to 18% of that of BasicLBC, which is equal to 3% of that of BasicCE, an naive Basic algorithm",48,A3,道路網・地理情報,B4,空間問合せ・検索,C6,(6) アルゴリズム(空間問合せ),ja,2022/11/26,電気学会論文誌C（電子・情報・システム部門誌）,138,12,1508,1516,2018,10.1541/ieejeiss.138.1508　,https://doi.org/10.1541/ieejeiss.138.1508,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
113,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4567,Conference Paper (DSC),なし,"山田,飛翔|石田,航星|石原,健司",設備情報における賃料への影響とその要因考察ー高田馬場における設備条件情報の影響の考察,,,49,A2,設備属性・賃料,B1,賃料への設備要因,C2,(2) Stat(回帰),ja,2022/11/26,2020年度日本建築学会関東支部研究報告集,91,,401,404,2021,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
114,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4571,Conference Paper (DSC),なし,"勝木,健太|源城,かほり",ロフトを備えた住戸の地域特性に関する検討,,ロフトを備えた住戸の地域特性について明らかにすることを目的として，統計データとして賃貸・売買物 件データを収集した。収集したデータから，ロフトを備えた住戸の分布や戸数，面積の地域特性について分析し， 住戸専有面積とロフト面積の間の県別特性等を明らかにした。,50,A2 / A3,物件属性 + 地域分布,B3,住宅タイプ分布・建築的視点,C2,(2) Stat(集計),ja,2022/11/26,第44回人間－生活環境系シンポジウム報告集,,,77,80,2020,10.24538/jhesp.44.0_77,https://www.jstage.jst.go.jp/article/jhesp/44/0/44_77/_article/-char/ja/,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
115,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1516,Conference Paper (DSC),なし,"小地沢,将之",賃貸用店舗併用住宅の間取りの特徴　店舗併用住宅の遊休ストックの市場流動化に向けた検討,,,51,A1 / A2,間取り図・物件属性,B3,店舗併用住宅・ストック流動化の検討,C2 / C6,(2) Stat(集計) / (6) その他?,ja,2022/11/26,日本建築学会大会（九州） 学術講演梗概集・都市計画,2016,,809,810,2016,,,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
116,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3751,Conference Paper (DSC),なし,"松本,翔太|村松,正和",機械学習を用いた東京都23区におけるマンション価格の予測,,,52,A2,マンション価格属性,B1,マンション価格予測,C1,(1) ML/DL,ja,2022/11/26,日本オペレーションズ・リサーチ学会春季研究発表会,,,,,2018,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
117,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4208,Conference Paper (DSC),なし,"新美,礼彦|兼目,真生",画像分割と深層学習を用いた不動産外観画像からの築年数推定,,近年、不動産とIT技術を組み合わせた不動産テックへの投資が爆発的に増加している。不動産ビッグデータの利点を活かし、画像処理やディープラーニングを不動産分野に応用した人工知能の活用を調査する研究も多い。築年数は不動産の価値を決める上で欠かすことのできない要素である。さらに、耐震性、設備、減価償却費、劣化の程度、建物価格なども、時間の経過によって変化するため、不動産の価値を見積もる際に考慮すべき要素の一つである。建物の築年数は、固定資産税の守秘義務により開示されないため、登記簿から情報を収集することは可能である。しかし、複数の物件を探す場合、この作業には時間とコストがかかる。本研究では、入力画像を分割し、アンサンブル学習法であるバギングを用いて建物の外観から築年数を推定した。また、画像から物体を認識する深層学習手法である畳み込みニューラルネットワーク手法を用いて分類モデルを作成した。実験の結果、分割画像と元画像の精度は同程度であった。結論として、本研究で提案する手法は、ディープニューラルネットワークを用いた推定と比較しても遜色はない。,53,A1,画像：外観,B3,建物築年数推定,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,第35回ファジィシステムシンポジウム講演論文集,,,342,347,2019,10.14864/fss.35.0_342,https://www.jstage.jst.go.jp/article/fss/35/0/35_342/_article/-char/ja/,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
118,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3966,Presentation (DSC),なし,"神谷,直樹",データ指向キャリアへの効率的支援プログラムとしてのデータ分析ハッカソンの設計・実施,,"本研究では、データサイエンティストの育成を目的とした「データソン（データ分析ハッカソン）」の設計と実施について報告する。データサイエンティストには、データサイエンス力（統計学・機械学習）、データエンジニアリング力（情報学・ソフトウェア工学）、ビジネス力（ビジネス理解と推進能力） の3つのスキルが求められる。これらを有機的に習得するためには、アクティブ・ラーニング型の育成 が不可欠であり、データ分析ハッカソンはそのための有効な手段となる。

データ分析ハッカソンの要件
データサイエンティスト育成のためのハッカソンには、以下の要件がある：

制限された環境での実施
ハードウェアの性能によって成績が左右されないような、公平な分析・開発環境を提供する。
最新技術の提供
技術革新が急速に進む中で、ハッカソンを通じて最新技術を学ぶ機会を提供する。
データの配慮
データの提供や利用に関する制度が整備されつつあるため、法的・倫理的な観点での配慮が必要である。
過去のデータ分析ハッカソン
第1回（エンターテイメント系企業のデータを用いた売上向上施策）
1.5年分、約1,000万レコードのデータを分析し、売上向上のための施策を提案。

第2回（不動産テック領域）
LIFULL提供の全国の賃貸物件データ（賃料、面積、立地、築年数、間取り、建物構造など）を用い、新しい不動産テックの提案や課題解決を実施。

第3回（ソーシャルデータ分析）
「不満買取センター」のユーザ投稿データ（約130万件）や他のデータを活用し、相利共生の方法を提案。

結論と今後の展望
本研究では、データサイエンティスト育成のためのハッカソンの設計と実施について紹介し、過去の実施例を報告した。今後は、より多様な業界との連携を強化し、実践的なデータ分析の機会を提供することで、データサイエンス人材のさらなる育成を目指す。",54,A2,"不動産データを題材, 教育",B4,教育的支援プログラム,C6,(6) IoT/CS/Other(教育・ハッカソン),ja,2022/11/26,統計数理研究所公募型共同利用重点型研究「データサイエンス人材育成メソッドの新展開」研究集会,,,,,2019,,https://ismrepo.ism.ac.jp/record/33917/files/openhouse-2019d10kamiya.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|不満調査データ,,,TRUE
119,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3967,Journal Article (DSC),なし,"神谷,直樹|宮園,法明",データソン：統計数理研究所におけるデータ分析ハッカソン,,,54,A2,"不動産データ, ハッカソン",B4,教育的支援プログラム,C6,(6) IoT/CS/Other(ハッカソン),ja,2022/11/26,日本ソーシャルデータサイエンス論文誌,3,1,2,7,2019,,http://www.jsdss.org/wp-content/uploads/2019/04/jjsdss_v3n1_p2.pdf,LIFULL HOME'S賃貸物件スナップショットデータ|不満調査データ,,,TRUE
120,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5034,Conference Paper (DSC)_03,なし,"須山,瑠万|栗,達|河合,由起子|中島,伸介",周辺状況及びスポット情報を考慮したPersonalized Scoringによる賃貸物件推薦手法,,,55,A2 / A3,物件属性 + スポット位置情報,B4,個人化賃貸推薦,C4,(4) RS(個人化スコアリング),ja,2023/12/3,データ工学と情報マネジメントに関するフォーラム （DEIM2023）論文集,,,,,2023,,https://proceedings-of-deim.github.io/DEIM2023/3b-2-2.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
121,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4750,Conference Paper (DSC),なし,"須山,瑠万|栗,達|河合,由起子|中島,伸介",賃貸物件に関する周辺環境を考慮したPersonalized Scoring方式の提案,,賃貸物件探しをする際，多くのユーザが不動産・住宅情報サイトを利用している．従来の不動産・住宅情報サイトでは，賃料・広さ・築年数・間取り・駅までの距離等の条件に基づいた物件の検索が可能である．しかし，周辺の治安やバリアフリー環境といったニッチなニーズについては指定することができない．関連研究として，諏訪ら[1]はIoTデバイスを用いて騒音や日当たりを定量的かつ直感的に比較・評価できる指標を構築した．しかし，周辺環境の指標化や検索結果の個人化は行えていない．本村ら[2]は，賃貸物件検索において，ユーザの評価特性をもとに物件検索とランキングを行う手法を提案した．しかし，周辺環境とユーザ特性とのマッチングは考慮されていない．本研究では，ユーザの年齢・性別を含む家族構成や各々の趣味嗜好を考慮すると共に，周辺地域の環境を考慮することに基づく賃貸物件に対するPersonalized Scoring方式の提案を行う．,55,A2 / A3,属性 + 地理情報,B4,個人化検索・推薦,C4,(4) RS(個人化),ja,2022/11/26,電子情報通信学会総合大会講演論文集,,,,,2022,,https://nakajima.kyoto-su.ac.jp/IEICE2022_Ruman_PropertyRec.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
122,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5035,Conference Paper (DSC)_03,なし,"杉永,萌夏|藤嶋,斗南|劉,佳明|党,紀",CNN を用いた外観画像による建物情報の自動識別モデルの構築,,,56,A1,画像：外観,B3,建物情報の推定,C1 / C3,(1) ML/DL / (3) CV,ja,2023/12/3,日本地震工学会第 17回年次大会梗概集,,,1,9,2022,,,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,TRUE
123,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5014,Presentation (DSC)_02,なし,"西阪,穂香|瀧澤,重志",3D都市モデルを用いた東京都区内の賃貸住戸からの眺望価値の推計,,,57,A2 / A3,賃料・価値・3D都市モデル,B1,眺望価値を含む賃料評価,C2 / C3 / C6,(2) Stat(ヘドニック) / (3) CV? or (6) GIS/3D?,ja,2023/12/3,建築情報学会 建築情報学生レビュー2022,,,,,2023,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
124,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4568,Departmental Bulletin Paper (DSC),なし,"西尾,洸毅|亀和田,達哉|土屋,拓也|小藤,一樹",青森県における「新たな住宅セーフティネット」としての民間賃貸住宅の活用可能性,,"Recently, there are matters that the way how to use the vacant housings of the rental private housings as
public housings since many old public housings would not be renewal in Japan. The vacant private housings
are treated as ""new safety net (SN) housing"" of the public housings. In this article, we grasp the age and the
area of the public housing and the private housing in each municipality of Aomori prefecture. Then we show
the possibility to use them as SN housings. The 75% of the total private housings is available as SN housings.
In additions, the rate is high in Aomori city and Hachinohe city. On the other hand, the one is low in Towada
city and Gosyogawara city. The rate of SN housing to old housing is 55% in Aomori prefecture. It is high in
Aomori city and Hachinohe city. On the other hand, the one is low in Tsugaru city, Fujisaki town, and
Gosyogawara city.",13,A2 / A3,賃貸属性 + 地域分布,B3,住宅政策・空き家／セーフティネット,C2,(2) Stat(基礎集計),ja,2022/11/26,八戸工業大学紀要,40,,17,24,2021,10.32127/00003978,https://hi-tech.repo.nii.ac.jp/?action=pages_view_main&active_action=repository_view_main_item_detail&item_id=4012&item_no=1&page_id=13&block_id=17,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
125,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4213,Departmental Bulletin Paper (DSC),なし,"西尾,洸毅|土屋,拓也",空間統計分析による民間賃貸住宅の地域格差の考察 -地理的加重回帰法を用いた地域格差の要因分析-,,"With the advent of real estate portal sites, the asymmetry of real estate information is being improved. On
the other hand, consumers themselves have to compare property information and evaluate relative housing
values. This study clarified the regional disparity in the effect of the geographical regularity of private rental
housing on the value of the housing by the geographical weighted regression method. First, it was grasped
that the impact on the housing value of condominiums is that the number of floors is large in urban areas but
the parking lots are large in rural areas. Next, in the case of apartments, it was grasped that the regional
difference between the Kanto region and the Kansai region was larger than in the case of condominiums.
Finally, the model in this study was improved over the least-squares model, but the regional model grasped
the regions expected to be affected by variables not included in the model.",13,A2 / A3,賃貸属性 + 空間統計,B1,賃料格差分析,C2,(2) Stat/Spatial(GWR等),ja,2022/11/26,八戸工業大学紀要,39,,30,44,2020,10.32127/00003947,https://hi-tech.repo.nii.ac.jp/?action=repository_uri&item_id=3971,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
126,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=5036,Conference Paper (DSC)_03,なし,"石本,舞花|山田,和彦",敵対的生成ネットワークによる間取り画像生成,,,58,A1,画像：間取り図,B2,間取り画像生成・GAN,C1,(1) ML/DL(GAN),ja,2023/12/3,2022年度日本建築学会中国支部研究報告集,46,,1059,1062,2023,,,LIFULL HOME'S賃貸物件スナップショットデータ|LIFULL HOME'S高精細度間取り図画像データ,TRUE,,TRUE
127,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4747,Conference Paper (DSC),なし,"前原,春佳|秦野,亮|西山,裕之",Single Shot MultiBox Detectorを用いた幼児の危険領域自動検出,,本研究では幼児の家庭内での事故を予防するため，SSDという機械学習モデルを用いて幼児の危険領域の自動検出を行う．転落事故や火の元，水回りへ移動することで起こる火傷事故や溺水事故を予防するため，窓と部屋の出入り口を危険領域に設定した．LIFULL’HOMESデータセットの画像データに対して領域アノテーションを行い，窓と部屋の出入り口のアノテーションデータを用意した．SSDのベースネットワークであるVGG16の学習済みモデルと画像データ，アノテーションデータを用いて学習を行ったところ，高い精度で窓と部屋の出入り口を検出することができた．今後は本研究で作成したモデルと幼児を検出するモデルと組合わせて幼児の危険領域接近検知を行うシステムを作成したいと考える．,59,A1,室内画像：窓・ドア検出,B2,室内の危険領域検出＝間取り・ドア等の解析,C1 / C3,(1) ML/DL / (3) CV(SSD),ja,2022/11/26,電子情報通信学会総合大会講演論文集,,,,,2022,,https://www.ieice.org/publications/conferences/summary.php?id=CONF0000133065&expandable=0&ConfCd=2022G&session_num=H-4&lecture_number=H-4-9&year=2022&conf_type=G,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
128,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4072,Conference Paper (DSC),なし,"倉田,和己",Google Street Viewと機械学習を用いた建物構造データベース自動生成の試み,,,60,A1 / A3,画像：外観/GSV・位置情報,B3,建物構造DB作成・防災含む,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,地震工学シンポジウム,,15,3552,3558,2018,,http://www.hibizaidan.jp/asset/pdf/report/report_h30_kurata.pdf,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
129,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4209,Departmental Bulletin Paper (DSC),なし,"早川,怜恵|中嶋,唯貴|岡田,成幸",市場取引にみる賃貸住宅の地震時室内リスク価格の地域間評価,,,61,A2 / A3,賃料データ + 地域リスク,B1,賃貸価格と地震リスク,C2,(2) Stat(ヘドニック),ja,2022/11/26,建築学会大会学術講演会（北陸）構造Ⅱ,,,605,606,2019,,https://ci.nii.ac.jp/naid/200000440232,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
130,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1512,Conference Paper (DSC),なし,"谷村,亮介|廣森,聡仁|梅津,高朗|山口,弘純|東野,輝夫",網羅的交通シミュレーションに基づく都市道路における堆雪状況推定手法,,冬季に多量の降積雪を観測する都市道路網においては，積雪量や気温の変化によって路面状態が日々変動し，旅行時間が増大する．さらに，除雪によって路肩に積み上げられた堆雪の影響により，部分的な車線減少が長時間発生する．このような状況下において，積雪が道路環境に与える複雑な影響を定量的に把握し，交通流の観測から道路状態の変化を推定することによる除排雪作業の効率化が期待されている．本研究では，片側 1 車線道路，片側 2 車線道路，信号付き交差点において，路肩に堆雪がある際の交通流を交通シミュレーターでモデル化し，交通量，堆雪の距離と位置，路面状態を変化させて旅行時間を観測することで，雪道特有の道路状況が交通流に与える影響を考察する．また，堆雪の有無や路面状態の変化により，道路を通過する車両の旅行時間分布が異なることに着目し，一致度の高い分布を網羅的シミュレーション結果から探索することにより，旅行時間の観測から堆雪状況などを推定する手法を提案する．実証実験においては，2 時間分の旅行時間分布を交通シミュレーションにより生成し，その分布に提案手法を適用した．その一例として，交通量が 1000veh/h 程度の信号付き交差点において，交通量を 7.5% の誤差，堆雪の位置を 81% の正解率，路面状態を 65% の正解率で推定可能なことを示した．,62,A3,道路・交通情報,B3,都市道路・冬季交通解析,C6,(6) シミュレーション(交通),ja,2022/11/26,情報処理学会 研究報告高度交通システムとスマートコミュニティ（ITS）,2017-ITS-68,9,1,8,2017,,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=177680,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
131,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=1523,Conference Paper (DSC),なし,"中山,泰宏|佐藤,秀樹",道路ネットワーク上における複数評価視点を考慮した空間情報検索アルゴリズムの検討,,本稿では、道路ネットワーク上における複数問合せ点に対する空間情報検索問題を一般化し、検索対象を複数の視点から評価可能とする空間情報検索問題を取り上げる。この問題の具現化のために、各々の視点の評価尺度に複数問合せ点に対する集約距離を、複数視点からの評価をまとめるためにスカイライン演算を用いることとする。問題に対する優良な解集合を求めるため、道路ネットワーク上における複数問合せ点に対するスカイライン検索を解くための直接的かつ簡明なCE(Collaborative Expansion)アルゴリズムの応用から始めて、性能改善を行うためのアルゴリズムの改良を検討し、実験評価を通して改善効果を確認する。,63,A3,道路ネットワーク情報,B4,空間問合せシステム,C6,(6) アルゴリズム(スカイライン検索),ja,2022/11/26,情報処理学会 全国大会講演論文集,2017,1,431,432,2017,,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=180708,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
132,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3750,Conference Paper (DSC),なし,"中山,泰宏|佐藤,秀樹",漸進的な集約ネットワーク距離計算と最短経路キャッシングに基づく地理情報検索アルゴリズム,,"複数の集約ネットワーク距離を評価関数の集合として,スカイライン点となる地理情報集合を検索するために,Batch LBC(Lower-Bound Constraint)アルゴリズムはソース関数の集約ネットワーク最近傍となる地理情報をスカイライン候補として,この候補に関する非ソース関数の集約ネットワーク距離が既存のスカイラインに優先(dominate)されるか否かを調べる。本発表では,Batch LBCの処理時間を改善するために,(1)非ソース関数の集約ネットワーク距離の漸進的計算,(2)最短経路キャッシュに基づく部分最短経路の再計算の回避,といった手法を提案する。さらに,これらの手法の有効性を実験により確認する。",63,A3,地理情報検索,B4,地理情報検索最適化,C6,(6) アルゴリズム,ja,2022/11/26,情報処理学会 全国大会講演論文集,2018,1,447,448,2018,,https://ipsj.ixsq.nii.ac.jp/ej/?action=repository_uri&item_id=187749,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
133,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=3749,Conference Paper (DSC),なし,"中山,泰宏|佐藤,秀樹",道路網上における複数評価尺度に基づく空間問合せに対する処理,,,63,A3,道路網・空間問合せ,B4,空間問合せ,C6,(6) アルゴリズム,ja,2022/11/26,電気・電子・情報関係学会東海支部連合大会予稿集,,,,,2017,,,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
134,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4612,Presentation (DSC),なし,"中川,秀幸|谷山,美里",保育施設による外部効果の評価,,本研究では、保育施設が周辺の賃貸物件の賃料に与える外部効果をヘドニック法により推計し、保育施設整備の政策論議に具体的な根拠を提供することを目的としました。LIFULL HOME'Sのデータ（2015年7月～2017年6月）から、東京都杉並区内の保育施設近隣の賃貸物件情報を収集し、ノンパラメトリックおよびセミパラメトリック推計を行いました。分析の結果、保育施設から至近距離の物件は賃料が低く、約20メートルまで離れると賃料が上昇し、その後平均値に収束する傾向が見られました。この結果は、保育施設の至近距離における負の外部効果（騒音や渋滞など）と、一定の距離での正の外部効果（公共財としての利便性）が賃料に影響を及ぼしている可能性を示唆しています。政策的には、保育施設新設時に至近距離の住民への説明や、場合によっては補償の検討が必要であることが示唆されます。,64,A2 / A3,賃料・価格 + 保育施設位置,B3,公共施設の外部効果と不動産,C2,(2) Stat(ヘドニック),ja,2022/11/26,NII-IDRユーザフォーラム2021,,,,,2021,,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2021_P04.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
135,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4201,Presentation (DSC),なし,"中川,秀幸|田中,麻子",歴史保存地区指定と景観の影響－神戸市北野町山本通地区の事例,,"本研究では、兵庫県神戸市北野町山本通地区を対象に、歴史的町並み保存地区の指定が周辺の賃貸物件の賃料に与える影響をヘドニック法を用いて分析しました。LIFULL HOME'Sデータセットから約15,000件の賃貸物件情報を収集し、物件の床面積、築年数、最寄り駅からの距離などの特徴量を考慮した回帰モデルを構築しました。分析の結果、保存地区内の物件は賃料が低下する傾向が見られ、一方で保存地区外の景観地区内の物件では賃料が上昇する傾向が示されました。これらの結果は、保存地区指定による規制が賃料に負の影響を及ぼす一方、景観地区の良好な景観が賃料に正の外部性をもたらす可能性を示唆しています。今後の研究では、他地域での一般化可能性の検証や、指定前後のデータを用いた差の差分析、地理的回帰不連続デザインによる因果推論の確立が求められます。",11,A2 / A3,,B3,歴史的地区保存と不動産影響,C2,(2) Stat(ヘドニック),ja,2022/11/26,NII-IDRユーザフォーラム2019,,,,,2019,,https://www.nii.ac.jp/dsc/idr/userforum/poster/IDR-UF2019_P17.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
136,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4200,Conference Paper (DSC),なし,"中川,秀幸|田中,麻子",The Impact of Designating Preservation Districts on the Housing Market - Evidence from Two Preservation Policies in Kobe City -,,,11,A2 / A3,,B3,歴史的地区指定の市場影響,C2,(2) Stat(ヘドニック or RD),en,2022/11/26,日本観光研究学会全国大会学術論文集,34,1,205,208,2019,,,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
137,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4744,Conference Paper (DSC),なし,"長島,弘昂|田島,敬史|清田,陽司",条件検索におけるコンバージョンと離脱の双方を考慮した条件推薦,,,47,A2,検索条件・物件属性,B4,検索・推薦手法の最適化,C4,(4) RS(検索最適化),ja,2022/11/26,データ工学と情報マネジメントに関するフォーラム（DEIM2022）論文集,,,,,2022,,https://proceedings-of-deim.github.io/DEIM2022/papers/F31-3.pdf,LIFULL HOME'S賃貸・売買物件月次データ,,TRUE,
138,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4068,Journal Article (DSC),あり（論文誌）,"椿,美智子|渡部,裕晃|八角,知里|佐々木,淳|佐藤,晋太郎|中村,雄太",階層一般化線形混合モデルを用いた定住意識の地域差・年代差の分析に関する研究－都市施設・住宅情報と市民意識を組み合わせたデータを用いて－,,"Against a background where the fixation of a population is indispensable for making a regional economy virtuous and a community active, in this paper, we clarify the differences among the structures of the settlement consciousness of residents in different regions and life stages.　The data used for the study were a combination of urban facility data extracted from GIS data, housing data from the viewpoint of service science, and data from a citizen consciousness survey in Chofu City on living attributes of the people, the surrounding environment, values, residence satisfaction, etc.　We clarified differences among the structures of settlement consciousness in each of five regions in Chofu City by analyzing the relationships between settlement consciousness and the variables of the combined data, using hierarchical generalized linear mixture models.　We also clarified the differences among the structures of settlement consciousness in three life stages of citizens, based on age.

JEL Classification:R23, O18, C54",65,A2 / A3,住民属性 + 地域,B3,市民意識・定住分析,C2,(2) Stat(混合モデル),ja,2022/11/26,地域学研究,48,1,1,20,2018,10.2457/srs.48.1,https://doi.org/10.2457/srs.48.1,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
139,https://dsc.repo.nii.ac.jp/?action=repository_uri&item_id=4746,Conference Paper (DSC),なし,"田中,駿成|秦野,亮|西山,裕之",VisionTransformerを用いた屋内画像分類,,本研究ではVisionTransformerのデータサイズによる精度の変化を確認するとともに，畳み込みニューラルネットワーク（CNN）をベースとしたモデルであるVGGとの精度の比較を行うことを目的としている．結果としてVisionTransformerで79.68％，VGG-16で82.78％の正解率を出すことができた．VVisionTransformerの方が精度が低い結果となった理由としては，事前学習済みモデルで使用しているデータのサイズが小さいということが挙げられる．VisionTransformerの利点はより大きいデータサイズを学習させることができるという点であるだろうと考えられる．,66,A1,画像：室内,B2,室内画像の自動分類,C1 / C3,(1) ML/DL / (3) CV,ja,2022/11/26,電子情報通信学会総合大会講演論文集,,,,,2022,,https://www.ieice.org/publications/conferences/summary.php?id=CONF0000132899&expandable=0&ConfCd=2022G&session_num=D-12B&lecture_number=D-12-38&year=2022&conf_type=G,LIFULL HOME'S賃貸物件スナップショットデータ,,,TRUE
